公司名,工商注册级别,注册地址变更信息,增资情况,股权变动,控股,成立年限,注册专业人员信息,法定代表人稳定性,对外投资,所处行业地位,企业规模,工程获奖情况,公共信用记录,工程领域不良记录(严重),工程领域不良记录(一般),法院信用记录,中标数量,主要市场区域,项目规模,主项资质,增项资质,知识产权情况,财务,社会评价,信用评分
浙江大发灯具有限公司,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,278
浙江景泰建设有限公司,2,0,0,0,3,18,11,0,,0,3,0,0,0,0,0,16,1,0,3,1,0,0,1,527
浙江远东建设有限公司,2,0,0,0,3,20,35,0,,0,2,1,0,0,1,0,17,0,6,2,3,0,0,11,569
浙江顺昌建设有限公司,2,0,0,0,3,11,22,0,4,0,3,0,0,0,0,0,18,3,1,3,3,0,0,0,536
浙江迪思威电气股份有限公司,2,0,0,0,3,0,7,0,1,0,3,0,0,0,0,0,21,1,0,3,4,5,0,1,614
浙江迈新科技股份有限公司,2,0,0,0,3,18,27,0,1,0,2,0,0,0,0,0,23,1,2,2,3,0,0,4,585
浙江宏富装饰有限公司,2,0,0,0,3,23,7,0,,0,3,0,0,0,0,0,14,0,0,3,4,0,0,0,535
浙江美达建设有限公司,2,0,0,0,3,12,14,0,,0,3,0,0,0,1,0,13,3,0,3,2,0,0,7,522
浙江埃克森电梯有限公司,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,20,1,1,0,0,0,0,2,332
浙江瓯江建筑工程有限公司,2,0,0,0,2,17,19,0,,0,3,0,0,0,0,0,14,0,0,3,2,0,0,0,537
浙江克瑞丰球泵业有限公司,2,0,0,0,2,15,0,0,,0,0,0,0,0,0,0,12,3,0,0,0,0,0,5,328
浙江大润机电设备有限公司,2,0,0,0,3,0,1,0,,0,4,0,0,0,0,0,12,3,1,4,1,0,0,0,514
浙江广安建设有限公司,3,0,0,0,3,0,17,0,2,0,3,1,0,0,2,0,19,3,6,3,9,1,0,4,496
